Id,Category
3126,Yes
12615,No
28448,No
13901,Yes
18125,No
13654,No
23498,No
13421,No
185,No
20470,No
34261,No
20909,No
287,No
19718,Yes
34331,No
12673,No
13676,No
31960,No
12166,Yes
6895,No
19107,No
21787,No
29501,No
27196,No
27892,No
6691,Yes
29848,No
17317,No
15489,No
32559,No
10318,No
27932,No
13097,No
6703,No
28141,No
9877,No
18603,Yes
31931,No
22942,Yes
20104,Yes
14194,No
17552,Yes
13683,No
15046,No
13255,No
10239,No
11030,No
11938,No
33282,No
15677,Yes
7585,No
6943,No
28411,No
32497,No
8182,Yes
2857,No
16922,No
18982,No
22835,No
6677,No
34293,No
1230,No
9385,No
12517,No
21365,No
800,No
3366,No
2831,No
27367,No
22739,No
21590,No
2997,No
29888,No
2948,No
26143,Yes
10300,No
24966,No
19219,No
8953,Yes
10539,No
23474,No
15341,No
24862,No
32327,No
704,No
20040,No
3134,No
16090,No
22885,No
7534,No
23144,No
30445,No
21135,Yes
9648,No
28346,Yes
12513,No
18299,No
8071,No
13029,No
3601,No
1335,No
7689,No
4018,Yes
23561,No
12895,No
11238,No
20539,No
20544,No
30193,No
393,No
23714,No
4004,No
6969,No
3729,No
9069,No
19204,Yes
22303,No
29755,No
17224,No
13669,Yes
2878,No
10979,Yes
12287,No
27217,No
21921,No
3466,No
9391,No
7755,Yes
3774,Yes
13971,No
21008,No
8743,No
3713,No
14183,No
16883,Yes
347,No
11053,No
10869,No
25134,No
20202,No
33111,No
6989,No
19660,No
10802,No
29631,No
24420,No
8823,Yes
28492,No
23384,No
24436,No
1549,No
18500,Yes
14126,No
17998,No
15310,No
24521,No
12679,No
26099,No
17889,No
28161,Yes
10188,No
26185,Yes
32627,No
21635,Yes
17683,No
7781,Yes
5617,Yes
33063,No
13742,No
28512,No
27539,No
27195,No
32595,Yes
15357,Yes
26180,No
29831,No
15986,No
18202,No
13280,No
34210,No
13493,No
28447,No
11932,No
11691,Yes
2340,No
13107,No
33552,No
20213,No
33831,No
25885,No
21537,No
33314,No
9059,Yes
3980,No
7028,No
25262,No
5931,No
15936,No
16791,No
8435,No
16928,No
2176,Yes
13710,Yes
6303,No
10778,No
4104,No
29598,No
10578,No
22789,No
33822,No
21325,No
9523,No
30367,No
6939,No
360,No
23748,No
19181,Yes
33378,Yes
33471,Yes
15563,No
13431,No
20941,No
15803,No
27342,No
33216,No
15221,No
23078,No
34341,No
15039,No
29373,Yes
18527,Yes
23034,No
24132,No
7155,No
2076,No
4298,No
21346,No
8025,No
5912,No
17234,No
3026,No
8713,No
28524,No
26601,No
7951,No
33611,No
2153,No
12077,No
16718,No
22372,No
18749,Yes
15151,Yes
10061,No
32308,No
34344,No
4358,No
14862,No
32862,No
29250,No
32344,No
14820,No
766,No
7459,No
8875,No
29595,No
23242,Yes
14043,No
19347,No
1051,No
18292,No
15554,Yes
6662,No
1981,No
25695,No
22670,No
6854,No
23275,No
16998,No
3624,No
16706,No
10716,No
16638,Yes
23547,No
29000,Yes
10069,No
26520,No
27014,No
6796,No
16082,No
19281,Yes
22002,No
387,No
25400,No
1389,No
19665,No
9638,No
27629,No
11768,No
27491,No
33603,Yes
3610,Yes
20864,No
22982,No
8864,No
34430,No
33788,Yes
21234,No
13845,No
29221,No
5742,No
32212,No
17266,No
18006,No
32333,No
26229,No
7922,No
13133,Yes
23980,No
17133,No
5878,No
11092,No
11403,No
26001,No
8284,No
26037,No
12584,No
24587,No
27668,No
621,No
23295,Yes
20612,No
18148,No
7863,No
33727,Yes
5721,Yes
3816,No
15791,No
2736,No
6015,No
27607,No
22707,No
8903,No
18723,No
2141,No
15866,Yes
29688,No
29763,No
311,No
13688,No
29346,No
13912,No
26721,No
28247,No
30011,No
10453,No
30249,No
29729,No
20453,No
20415,No
19315,No
6574,Yes
22818,No
18013,No
13911,No
17251,No
28997,No
8523,No
13672,No
1852,No
7746,No
28358,No
16454,No
25707,No
19877,No
21737,No
34359,No
28920,No
10885,Yes
2793,No
7119,No
19926,Yes
19735,No
2683,No
10159,No
7048,No
891,No
27524,No
13761,No
15082,No
4025,No
18461,No
7706,No
15747,No
67,No
21887,No
28149,No
18307,No
25819,No
34447,No
26184,No
21347,No
19808,Yes
30291,No
16622,No
13376,No
12779,No
21562,No
32746,No
24046,No
6825,No
20383,No
25559,No
9223,No
1587,No
19953,Yes
30266,No
685,No
27199,No
17011,No
18154,No
3619,Yes
22419,No
6400,No
1026,No
13699,No
33013,No
20129,No
7807,No
9999,No
27284,No
306,No
23249,No
26966,No
20311,No
472,No
19675,No
33658,Yes
22244,No
9402,No
7714,No
163,No
13428,Yes
17130,No
15390,Yes
14431,Yes
28493,No
27984,No
14327,No
28925,No
18087,No
21206,No
19356,No
12032,No
32415,No
19635,Yes
28709,No
32119,No
17129,Yes
56,Yes
8024,Yes
29806,No
10851,No
1190,No
3055,Yes
26960,Yes
28162,No
19320,No
17228,No
29998,No
18044,No
28416,Yes
26926,No
34056,Yes
31934,No
29878,No
15529,No
14049,No
12553,No
9259,No
18349,No
31946,No
25399,No
28551,No
28380,No
12662,Yes
7795,No
11452,No
14346,No
16848,No
32036,No
11761,No
23701,No
2280,No
17370,No
1714,No
29199,No
19436,No
11486,No
23846,No
2332,No
32994,Yes
10841,No
10887,No
33380,No
29458,No
32585,No
25041,No
8444,Yes
29469,No
22955,No
7027,No
15191,No
20268,No
21629,No
25911,Yes
28879,No
26367,Yes
16337,No
33590,No
6123,No
27890,No
529,No
21862,No
33665,Yes
24567,No
13529,No
2149,No
23045,No
6293,No
15433,No
19029,No
3890,No
10928,Yes
7821,No
19032,No
4079,No
2261,No
9721,No
22779,No
28696,No
29002,No
10158,No
19500,No
17465,No
23612,No
31849,No
24446,No
16711,Yes
20026,No
1247,No
18596,Yes
15437,No
30344,No
2063,No
20126,No
10066,No
19212,No
970,No
15483,No
6950,No
10977,No
22849,No
24609,No
16389,No
13541,No
14290,No
3284,No
18686,No
12186,No
12525,Yes
3140,No
33589,No
745,No
18055,No
401,No
12476,No
29325,No
6304,No
23548,No
25170,No
654,No
7640,No
27155,No
10935,No
1748,No
28270,No
14655,No
581,No
8745,No
9905,No
20091,No
18875,No
26102,No
9938,No
15877,No
22709,No
8891,No
3168,No
11827,No
23640,No
18173,No
23780,No
23146,Yes
30232,Yes
5705,No
14809,No
6481,No
10029,No
23670,No
7486,No
21342,No
28716,No
11006,No
18395,No
29439,No
24757,No
10697,Yes
9275,Yes
20766,No
10125,No
12046,No
6870,No
16057,No
17793,No
9710,No
27691,No
18900,No
28036,No
18326,No
12451,No
2984,No
9330,No
9485,Yes
33037,No
4214,No
33907,No
26536,Yes
12798,No
28740,No
21745,No
10569,No
19514,Yes
16111,No
12997,No
34018,No
5674,No
4407,No
12766,No
23920,No
26322,No
28825,No
8685,Yes
33346,Yes
20250,Yes
10756,No
24086,No
27108,No
2073,No
7959,No
2733,No
511,No
19241,No
23411,No
22769,No
14769,No
8357,No
13185,No
28822,No
25714,No
23491,No
14103,No
3182,No
21463,No
15249,No
16123,No
15581,No
20998,No
25144,No
12020,No
20632,No
31998,No
6309,No
8802,No
33962,No
32489,No
30140,No
28180,No
26805,No
27990,No
11286,No
27681,No
2068,No
6453,No
23350,No
2444,No
33402,No
21068,No
16734,No
12650,No
18351,No
12661,Yes
5761,No
1881,Yes
2658,No
20485,No
1400,No
26289,No
14456,No
2551,No
13168,No
19779,No
23368,No
14351,No
17122,No
34162,Yes
10975,No
28873,No
27962,No
27228,No
9608,Yes
4329,No
4314,No
3355,No
11510,No
18715,No
2804,No
27759,Yes
9511,No
6343,No
31922,No
16113,No
6752,No
19662,No
5950,Yes
7693,No
18088,No
962,No
8325,No
18566,No
19642,No
26998,No
32883,No
33704,No
20157,No
20602,No
11966,No
22108,No
11355,No
12796,No
32403,No
5516,No
7301,Yes
29917,No
4154,No
19872,Yes
6191,No
7505,No
32325,No
24980,No
3028,No
673,Yes
30056,No
9216,No
34361,No
27226,No
32495,No
21475,No
30434,No
26578,No
15628,No
4319,No
21980,Yes
24669,No
8026,No
22046,No
3869,No
33435,No
32639,No
17533,Yes
27805,No
18515,No
2807,No
34061,Yes
6577,No
22316,No
32400,No
20837,No
26077,No
17326,No
7208,No
9810,Yes
24743,Yes
16730,No
21574,No
22940,No
21188,No
18884,No
21207,No
18549,No
28444,No
19591,No
11536,No
26371,Yes
26956,No
16910,No
28957,No
8367,No
1474,No
6037,No
20290,No
3161,No
11120,No
7860,No
11875,No
27135,No
1598,No
28219,No
29142,Yes
22041,Yes
19382,No
23122,No
26390,No
8661,No
9176,No
28880,No
21071,Yes
23340,Yes
7010,Yes
24470,No
14179,No
27950,Yes
24235,No
14508,No
12794,No
21159,No
29263,No
26318,No
20619,No
32556,No
1497,No
20961,No
28271,No
3997,No
19848,No
7919,No
1503,No
13639,No
12443,No
7665,No
8324,No
24148,No
13933,No
8692,Yes
22795,No
19056,No
26204,No
25305,No
13082,No
33312,Yes
27528,No
29272,No
30023,No
3731,No
15488,No
841,No
32872,No
1463,No
16406,No
14412,No
29804,No
6643,Yes
32642,Yes
25210,No
7513,No
6826,No
23710,Yes
23333,No
9375,No
16494,No
23285,No
4002,No
19876,No
16610,No
18540,No
16675,No
34172,No
20036,No
5698,No
928,No
32292,No
12139,No
7767,Yes
9572,No
2757,Yes
33834,No
21187,No
32428,No
3096,Yes
7238,No
29001,No
20694,No
10460,No
22190,Yes
12974,No
6253,No
19709,No
33073,No
13382,Yes
15526,No
9561,No
33470,No
6633,No
17204,No
3373,No
3926,No
8709,No
27889,No
20394,No
11518,No
22891,No
23315,Yes
3288,No
27286,No
435,No
31918,No
32516,Yes
7770,No
29974,No
2099,Yes
17348,No
13799,Yes
28980,No
26085,No
17820,No
25722,No
2374,No
5789,No
8698,Yes
29931,No
17698,No
26321,Yes
288,No
34345,Yes
29599,No
25053,No
27838,No
4167,No
8375,No
25784,Yes
12778,No
33161,No
16871,Yes
531,No
14273,No
32976,No
8731,No
32023,No
24329,No
25598,No
18823,No
19782,No
1729,No
1289,No
27988,No
14318,No
3159,Yes
3496,No
12236,No
26257,No
1764,No
30185,No
3260,No
23981,No
14038,No
32992,Yes
15912,No
19332,No
9497,No
7819,No
5970,No
26364,Yes
22019,No
2419,Yes
19330,No
27651,No
9284,No
23439,No
23434,No
21223,No
19272,Yes
29003,No
27856,No
19690,No
17020,No
25466,No
26665,No
6961,No
9631,No
7425,No
28054,No
10505,No
6980,No
33835,No
4101,No
5956,No
24684,No
6175,No
30407,No
26988,No
23210,No
32536,No
8132,No
7645,No
29330,No
13982,No
1511,No
12670,No
5638,No
17713,No
8577,No
2438,No
20578,No
1543,No
6588,No
18743,No
26630,No
26922,No
9645,No
21366,No
9751,No
23713,No
16582,No
